====== PRINT_BPTREE ======
FrequentPattern		Frequency
{chocolate bread, eggs} 2
{corn, eggs} 2
{eggs, mashed potato} 2
{eggs, pickles} 2
{eggs, shallot} 2
{eggs, energy drink, parmesan cheese, spaghetti} 2
{eggs, energy drink, soup, spaghetti} 2
{eggs, escalope, french fries, green grapes} 2
{eggs, escalope, french fries, green tea} 2
{eggs, escalope, french fries, low fat yogurt} 2
{eggs, escalope, french fries, milk} 2
{eggs, escalope, fresh bread, mineral water} 2
{eggs, escalope, fresh tuna, spaghetti} 2
{eggs, escalope, fromage blanc, green tea} 2
{eggs, escalope, fromage blanc, turkey} 2
{eggs, escalope, frozen smoothie, pancakes} 2
{eggs, escalope, frozen vegetables, gums} 2
{eggs, escalope, frozen vegetables, low fat yogurt} 2
{eggs, escalope, frozen vegetables, milk} 2
{eggs, escalope, frozen vegetables, mint} 2
{eggs, escalope, frozen vegetables, spaghetti} 2
{eggs, escalope, frozen vegetables, vegetables mix} 2
{eggs, escalope, grated cheese, pancakes} 2
{eggs, escalope, grated cheese, pepper} 2
{eggs, escalope, grated cheese, salmon} 2
{eggs, escalope, green tea, ground beef} 2
{eggs, escalope, green tea, pepper} 2
{eggs, escalope, ground beef, mineral water} 2
{eggs, escalope, ground beef, salmon} 2
{eggs, escalope, light mayo, pancakes} 2
{eggs, escalope, low fat yogurt, milk} 2
{eggs, escalope, low fat yogurt, pancakes} 2
{eggs, escalope, milk, mineral water} 2
{eggs, escalope, milk, pancakes} 2
{eggs, escalope, milk, shrimp} 2
{eggs, escalope, mineral water, pepper} 2
{eggs, escalope, mineral water, rice} 2
{eggs, escalope, mineral water, vegetables mix} 2
{eggs, escalope, mineral water, whole wheat rice} 2
{eggs, escalope, pancakes, pepper} 2
{eggs, escalope, pepper, turkey} 2
{eggs, escalope, salmon, spaghetti} 2
{eggs, escalope, soup, whole wheat rice} 2
{eggs, extra dark chocolate, french wine, mineral water} 2
{eggs, extra dark chocolate, fresh tuna, mineral water} 2
{eggs, extra dark chocolate, ground beef, spaghetti} 2
{eggs, extra dark chocolate, low fat yogurt, mineral water} 2
{eggs, extra dark chocolate, mineral water, pancakes} 2
{eggs, extra dark chocolate, mineral water, tomatoes} 2
{eggs, extra dark chocolate, salmon, spaghetti} 2
{eggs, flax seed, french fries, green tea} 2
{eggs, flax seed, ground beef, mineral water} 2
{eggs, french fries, french wine, green tea} 2
{eggs, french fries, french wine, milk} 2
{eggs, french fries, fresh bread, frozen smoothie} 2
{eggs, french fries, fresh bread, ham} 2
{eggs, french fries, fresh bread, muffins} 2
{eggs, french fries, fresh bread, spaghetti} 2
{eggs, french fries, fresh tuna, green tea} 2
{eggs, french fries, fromage blanc, frozen vegetables} 2
{eggs, french fries, frozen smoothie, green tea} 2
{eggs, french fries, frozen smoothie, hot dogs} 2
{eggs, french fries, frozen smoothie, low fat yogurt} 2
{eggs, french fries, frozen smoothie, rice} 2
{eggs, french fries, frozen smoothie, tomatoes} 2
{eggs, french fries, frozen vegetables, grated cheese} 2
{eggs, french fries, frozen vegetables, light mayo} 2
{eggs, french fries, frozen vegetables, muffins} 2
{eggs, french fries, frozen vegetables, protein bar} 2
{eggs, french fries, frozen vegetables, red wine} 2
{eggs, french fries, frozen vegetables, salmon} 2
{eggs, french fries, frozen vegetables, shrimp} 2
{eggs, french fries, frozen vegetables, strawberries} 2
{eggs, french fries, frozen vegetables, whole wheat pasta} 2
{eggs, french fries, gluten free bar, light mayo} 2
{eggs, french fries, gluten free bar, pancakes} 2
{eggs, french fries, grated cheese, ham} 2
{eggs, french fries, grated cheese, soup} 2
{eggs, french fries, grated cheese, turkey} 2
{eggs, french fries, green beans, green tea} 2
{eggs, french fries, green beans, spaghetti} 2
{eggs, french fries, green grapes, mineral water} 2
{eggs, french fries, green grapes, vegetables mix} 2
{eggs, french fries, green tea, ham} 2
{eggs, french fries, green tea, muffins} 2
{eggs, french fries, green tea, pasta} 2
{eggs, french fries, green tea, strawberries} 2
{eggs, french fries, ground beef, soup} 2
{eggs, french fries, ground beef, tomato sauce} 2
{eggs, french fries, ground beef, whole wheat pasta} 2
{eggs, french fries, ham, mineral water} 2
{eggs, french fries, ham, mint green tea} 2
{eggs, french fries, ham, tomatoes} 2
{eggs, french fries, honey, milk} 2
{eggs, french fries, honey, turkey} 2
{eggs, french fries, hot dogs, light mayo} 2
{eggs, french fries, hot dogs, spaghetti} 2
{eggs, french fries, light mayo, spaghetti} 2
{eggs, french fries, low fat yogurt, shrimp} 2
{eggs, french fries, low fat yogurt, turkey} 2
{eggs, french fries, meatballs, milk} 2
{eggs, french fries, meatballs, pancakes} 2
{eggs, french fries, meatballs, spaghetti} 2
{eggs, french fries, melons, mineral water} 2
{eggs, french fries, milk, salmon} 2
{eggs, french fries, milk, tomato juice} 2
{eggs, french fries, milk, vegetables mix} 2
{eggs, french fries, milk, whole wheat rice} 2
{eggs, french fries, mineral water, mint} 2
{eggs, french fries, mineral water, protein bar} 2
{eggs, french fries, mineral water, strawberries} 2
{eggs, french fries, mineral water, tomato sauce} 2
{eggs, french fries, mineral water, whole wheat pasta} 2
{eggs, french fries, muffins, pancakes} 2
{eggs, french fries, pancakes, salmon} 2
{eggs, french fries, pancakes, turkey} 2
{eggs, french fries, pasta, shrimp} 2
{eggs, french fries, pasta, spaghetti} 2
{eggs, french fries, pasta, turkey} 2
{eggs, french fries, protein bar, spaghetti} 2
{eggs, french fries, shrimp, turkey} 2
{eggs, french fries, soup, spaghetti} 2
{eggs, french fries, strawberries, tomatoes} 2
{eggs, french fries, tomato juice, tomatoes} 2
{eggs, french fries, tomatoes, vegetables mix} 2
{eggs, french fries, tomatoes, yogurt cake} 2
{eggs, french fries, turkey, whole wheat rice} 2
{eggs, french wine, fresh bread, melons} 2
{eggs, french wine, fresh bread, spaghetti} 2
{eggs, french wine, fresh bread, tomato juice} 2
{eggs, french wine, frozen vegetables, green tea} 2
{eggs, french wine, frozen vegetables, pancakes} 2
{eggs, french wine, frozen vegetables, soup} 2
{eggs, french wine, green beans, mineral water} 2
{eggs, french wine, green tea, milk} 2
{eggs, french wine, green tea, turkey} 2
{eggs, french wine, ground beef, mineral water} 2
{eggs, french wine, ground beef, spaghetti} 2
{eggs, french wine, low fat yogurt, turkey} 2
{eggs, french wine, milk, turkey} 2
{eggs, french wine, pancakes, soup} 2
{eggs, french wine, pancakes, spaghetti} 2
{eggs, french wine, pancakes, tomato juice} 2
{eggs, french wine, pancakes, whole wheat pasta} 2
{eggs, french wine, salmon, spaghetti} 2
{eggs, french wine, shrimp, spaghetti} 2
{eggs, french wine, shrimp, strong cheese} 2
{eggs, french wine, spaghetti, tomatoes} 2
{eggs, french wine, spaghetti, whole wheat pasta} 2
{eggs, fresh bread, fresh tuna, frozen vegetables} 2
{eggs, fresh bread, fresh tuna, mineral water} 2
{eggs, fresh bread, fresh tuna, turkey} 2
{eggs, fresh bread, frozen smoothie, milk} 2
{eggs, fresh bread, frozen vegetables, green tea} 2
{eggs, fresh bread, frozen vegetables, ground beef} 2
{eggs, fresh bread, frozen vegetables, low fat yogurt} 2
{eggs, fresh bread, frozen vegetables, tomatoes} 2
{eggs, fresh bread, grated cheese, ground beef} 2
{eggs, fresh bread, grated cheese, milk} 2
{eggs, fresh bread, grated cheese, spaghetti} 2
{eggs, fresh bread, green beans, mineral water} 2
{eggs, fresh bread, green beans, spaghetti} 2
{eggs, fresh bread, green tea, mineral water} 2
{eggs, fresh bread, green tea, turkey} 2
{eggs, fresh bread, low fat yogurt, milk} 2
{eggs, fresh bread, low fat yogurt, mineral water} 2
{eggs, fresh bread, low fat yogurt, soda} 2
{eggs, fresh bread, milk, pancakes} 2
{eggs, fresh bread, mineral water, mint} 2
{eggs, fresh bread, mineral water, pancakes} 2
{eggs, fresh bread, mineral water, protein bar} 2
{eggs, fresh bread, mineral water, shrimp} 2
{eggs, fresh bread, mineral water, soup} 2
{eggs, fresh bread, mineral water, tomatoes} 2
{eggs, fresh bread, mineral water, whole wheat rice} 2
{eggs, fresh bread, pancakes, turkey} 2
{eggs, fresh bread, soup, tomato juice} 2
{eggs, fresh bread, spaghetti, tomatoes} 2
{eggs, fresh bread, spaghetti, whole wheat rice} 2
{eggs, fresh tuna, fromage blanc, frozen smoothie} 2
{eggs, fresh tuna, fromage blanc, green tea} 2
{eggs, fresh tuna, fromage blanc, pancakes} 2
{eggs, fresh tuna, fromage blanc, red wine} 2
{eggs, fresh tuna, fromage blanc, spaghetti} 2
{eggs, fresh tuna, frozen smoothie, pancakes} 2
{eggs, fresh tuna, gluten free bar, pancakes} 2
{eggs, fresh tuna, gluten free bar, spaghetti} 2
{eggs, fresh tuna, green tea, honey} 2
{eggs, fresh tuna, green tea, pancakes} 2
{eggs, fresh tuna, green tea, spaghetti} 2
{eggs, fresh tuna, honey, pancakes} 2
{eggs, fresh tuna, honey, spaghetti} 2
{eggs, fresh tuna, light mayo, spaghetti} 2
{eggs, fresh tuna, milk, mineral water} 2
{eggs, fresh tuna, mineral water, pancakes} 2
{eggs, fresh tuna, mineral water, salmon} 2
{eggs, fresh tuna, mineral water, spaghetti} 2
{eggs, fresh tuna, mineral water, tomatoes} 2
{eggs, fresh tuna, mineral water, turkey} 2
{eggs, fresh tuna, pancakes, pepper} 2
{eggs, fresh tuna, pancakes, turkey} 2
{eggs, fromage blanc, frozen smoothie, honey} 2
{eggs, fromage blanc, green tea, honey} 2
{eggs, fromage blanc, green tea, pepper} 2
{eggs, fromage blanc, green tea, spaghetti} 2
{eggs, fromage blanc, green tea, turkey} 2
{eggs, fromage blanc, honey, mineral water} 2
{eggs, fromage blanc, honey, red wine} 2
{eggs, fromage blanc, honey, salmon} 2
{eggs, fromage blanc, honey, spaghetti} 2
{eggs, fromage blanc, light mayo, tomatoes} 2
{eggs, fromage blanc, mineral water, red wine} 2
{eggs, fromage blanc, mineral water, salmon} 2
{eggs, fromage blanc, red wine, salmon} 2
{eggs, frozen smoothie, frozen vegetables, hot dogs} 2
{eggs, frozen smoothie, frozen vegetables, light mayo} 2
{eggs, frozen smoothie, frozen vegetables, mineral water} 2
{eggs, frozen smoothie, frozen vegetables, pancakes} 2
{eggs, frozen smoothie, frozen vegetables, shrimp} 2
{eggs, frozen smoothie, grated cheese, ground beef} 2
{eggs, frozen smoothie, grated cheese, mineral water} 2
{eggs, frozen smoothie, green tea, milk} 2
{eggs, frozen smoothie, green tea, pancakes} 2
{eggs, frozen smoothie, green tea, parmesan cheese} 2
{eggs, frozen smoothie, green tea, spaghetti} 2
{eggs, frozen smoothie, green tea, turkey} 2
{eggs, frozen smoothie, ground beef, pancakes} 2
{eggs, frozen smoothie, ground beef, spaghetti} 2
{eggs, frozen smoothie, hot dogs, mineral water} 2
{eggs, frozen smoothie, hot dogs, tomatoes} 2
{eggs, frozen smoothie, light mayo, pancakes} 2
{eggs, frozen smoothie, light mayo, parmesan cheese} 2
{eggs, frozen smoothie, low fat yogurt, pancakes} 2
{eggs, frozen smoothie, low fat yogurt, tomatoes} 2
{eggs, frozen smoothie, low fat yogurt, whole wheat rice} 2
{eggs, frozen smoothie, milk, spaghetti} 2
{eggs, frozen smoothie, milk, tomatoes} 2
{eggs, frozen smoothie, mineral water, shrimp} 2
{eggs, frozen smoothie, mineral water, spinach} 2
{eggs, frozen smoothie, mineral water, tomatoes} 2
{eggs, frozen smoothie, mineral water, turkey} 2
{eggs, frozen smoothie, mineral water, whole wheat rice} 2
{eggs, frozen smoothie, pancakes, spaghetti} 2
{eggs, frozen smoothie, pancakes, turkey} 2
{eggs, frozen smoothie, parmesan cheese, shrimp} 2
{eggs, frozen smoothie, salmon, shrimp} 2
{eggs, frozen smoothie, shrimp, spaghetti} 2
{eggs, frozen smoothie, spaghetti, spinach} 2
{eggs, frozen smoothie, spaghetti, turkey} 2
{eggs, frozen smoothie, spaghetti, whole wheat rice} 2
{eggs, frozen vegetables, grated cheese, ground beef} 2
{eggs, frozen vegetables, grated cheese, low fat yogurt} 2
{eggs, frozen vegetables, grated cheese, milk} 2
{eggs, frozen vegetables, grated cheese, soup} 2
{eggs, frozen vegetables, green grapes, mineral water} 2
{eggs, frozen vegetables, green grapes, vegetables mix} 2
{eggs, frozen vegetables, green tea, light mayo} 2
{eggs, frozen vegetables, green tea, red wine} 2
{eggs, frozen vegetables, green tea, whole wheat pasta} 2
{eggs, frozen vegetables, green tea, yogurt cake} 2
{eggs, frozen vegetables, ground beef, low fat yogurt} 2
{eggs, frozen vegetables, ground beef, red wine} 2
{eggs, frozen vegetables, ground beef, shrimp} 2
{eggs, frozen vegetables, ground beef, turkey} 2
{eggs, frozen vegetables, ham, pancakes} 2
{eggs, frozen vegetables, light mayo, milk} 2
{eggs, frozen vegetables, light mayo, vegetables mix} 2
{eggs, frozen vegetables, low fat yogurt, shrimp} 2
{eggs, frozen vegetables, low fat yogurt, spaghetti} 2
{eggs, frozen vegetables, melons, whole wheat rice} 2
{eggs, frozen vegetables, milk, muffins} 2
{eggs, frozen vegetables, milk, parmesan cheese} 2
{eggs, frozen vegetables, milk, soup} 2
{eggs, frozen vegetables, milk, turkey} 2
{eggs, frozen vegetables, milk, whole wheat rice} 2
{eggs, frozen vegetables, mineral water, mint} 2
{eggs, frozen vegetables, mineral water, pasta} 2
{eggs, frozen vegetables, mineral water, protein bar} 2
{eggs, frozen vegetables, mineral water, tomato juice} 2
{eggs, frozen vegetables, mineral water, whole wheat pasta} 2
{eggs, frozen vegetables, mineral water, whole wheat rice} 2
{eggs, frozen vegetables, pancakes, salmon} 2
{eggs, frozen vegetables, pancakes, soup} 2
{eggs, frozen vegetables, parmesan cheese, shrimp} 2
{eggs, frozen vegetables, pasta, shrimp} 2
{eggs, frozen vegetables, red wine, rice} 2
{eggs, frozen vegetables, shrimp, tomatoes} 2
{eggs, frozen vegetables, shrimp, vegetables mix} 2
{eggs, frozen vegetables, spaghetti, turkey} 2
{eggs, frozen vegetables, tomatoes, vegetables mix} 2
{eggs, gluten free bar, hot dogs, mineral water} 2
{eggs, gluten free bar, milk, salmon} 2
{eggs, gluten free bar, milk, vegetables mix} 2
{eggs, gluten free bar, pancakes, spaghetti} 2
{eggs, gluten free bar, salmon, vegetables mix} 2
{eggs, grated cheese, green tea, spaghetti} 2
{eggs, grated cheese, ground beef, ham} 2
{eggs, grated cheese, ground beef, pancakes} 2
{eggs, grated cheese, ground beef, protein bar} 2
{eggs, grated cheese, ground beef, salmon} 2
{eggs, grated cheese, ham, mineral water} 2
{eggs, grated cheese, low fat yogurt, mineral water} 2
{eggs, grated cheese, low fat yogurt, spaghetti} 2
{eggs, grated cheese, mashed potato, mineral water} 2
{eggs, grated cheese, milk, salmon} 2
{eggs, grated cheese, milk, whole wheat rice} 2
{eggs, grated cheese, mineral water, nonfat milk} 2
{eggs, grated cheese, mineral water, protein bar} 2
{eggs, grated cheese, mineral water, soup} 2
{eggs, grated cheese, mineral water, tomato juice} 2
{eggs, grated cheese, mineral water, tomato sauce} 2
{eggs, grated cheese, mineral water, turkey} 2
{eggs, grated cheese, nonfat milk, spaghetti} 2
{eggs, grated cheese, pancakes, pepper} 2
{eggs, grated cheese, parmesan cheese, spaghetti} 2
{eggs, grated cheese, pepper, spaghetti} 2
{eggs, grated cheese, pepper, turkey} 2
{eggs, grated cheese, salmon, vegetables mix} 2
{eggs, grated cheese, tomato sauce, turkey} 2
{eggs, green beans, green tea, spaghetti} 2
{eggs, green beans, mineral water, spaghetti} 2
{eggs, green beans, spaghetti, tomatoes} 2
{eggs, green grapes, green tea, vegetables mix} 2
{eggs, green grapes, mineral water, vegetables mix} 2
{eggs, green grapes, pancakes, shrimp} 2
{eggs, green tea, ground beef, whole wheat pasta} 2
{eggs, green tea, gums, turkey} 2
{eggs, green tea, ham, mineral water} 2
{eggs, green tea, ham, spaghetti} 2
{eggs, green tea, honey, pancakes} 2
{eggs, green tea, honey, pepper} 2
{eggs, green tea, honey, turkey} 2
{eggs, green tea, light mayo, pancakes} 2
{eggs, green tea, light mayo, parmesan cheese} 2
{eggs, green tea, light mayo, tomatoes} 2
{eggs, green tea, light mayo, yogurt cake} 2
{eggs, green tea, meatballs, turkey} 2
{eggs, green tea, milk, pepper} 2
{eggs, green tea, milk, protein bar} 2
{eggs, green tea, milk, tomato juice} 2
{eggs, green tea, milk, tomatoes} 2
{eggs, green tea, milk, whole wheat pasta} 2
{eggs, green tea, mineral water, tomato juice} 2
{eggs, green tea, mineral water, whole wheat pasta} 2
{eggs, green tea, mineral water, yogurt cake} 2
{eggs, green tea, mushroom cream sauce, yogurt cake} 2
{eggs, green tea, pancakes, salmon} 2
{eggs, green tea, pancakes, tomato juice} 2
{eggs, green tea, pancakes, tomatoes} 2
{eggs, green tea, pancakes, whole wheat rice} 2
{eggs, green tea, pancakes, yogurt cake} 2
{eggs, green tea, parmesan cheese, shrimp} 2
{eggs, green tea, pepper, red wine} 2
{eggs, green tea, pepper, turkey} 2
{eggs, green tea, salmon, spaghetti} 2
{eggs, green tea, shrimp, strawberries} 2
{eggs, green tea, shrimp, turkey} 2
{eggs, green tea, spaghetti, tomato juice} 2
{eggs, green tea, spaghetti, tomatoes} 2
{eggs, green tea, spaghetti, whole wheat rice} 2
{eggs, green tea, spaghetti, yogurt cake} 2
{eggs, green tea, tomato juice, turkey} 2
{eggs, green tea, tomatoes, turkey} 2
{eggs, green tea, turkey, white wine} 2
{eggs, ground beef, gums, salmon} 2
{eggs, ground beef, ham, spaghetti} 2
{eggs, ground beef, honey, salmon} 2
{eggs, ground beef, light mayo, mineral water} 2
{eggs, ground beef, low fat yogurt, mint} 2
{eggs, ground beef, low fat yogurt, salmon} 2
{eggs, ground beef, low fat yogurt, spaghetti} 2
{eggs, ground beef, low fat yogurt, whole wheat rice} 2
{eggs, ground beef, meatballs, milk} 2
{eggs, ground beef, meatballs, mineral water} 2
{eggs, ground beef, meatballs, tomatoes} 2
{eggs, ground beef, milk, pancakes} 2
{eggs, ground beef, milk, tomatoes} 2
{eggs, ground beef, mineral water, mint} 2
{eggs, ground beef, mineral water, nonfat milk} 2
{eggs, ground beef, mineral water, pepper} 2
{eggs, ground beef, mineral water, rice} 2
{eggs, ground beef, mineral water, shrimp} 2
{eggs, ground beef, mineral water, turkey} 2
{eggs, ground beef, mineral water, white wine} 2
{eggs, ground beef, mineral water, whole weat flour} 2
{eggs, ground beef, mint, tomatoes} 2
{eggs, ground beef, mushroom cream sauce, spaghetti} 2
{eggs, ground beef, pancakes, pepper} 2
{eggs, ground beef, pancakes, soup} 2
{eggs, ground beef, pancakes, whole wheat pasta} 2
{eggs, ground beef, protein bar, salmon} 2
{eggs, ground beef, protein bar, spaghetti} 2
{eggs, ground beef, salmon, tomatoes} 2
{eggs, ground beef, soup, turkey} 2
{eggs, ground beef, spaghetti, strawberries} 2
{eggs, ground beef, spaghetti, tomato sauce} 2
{eggs, ground beef, spaghetti, white wine} 2
{eggs, ground beef, tomatoes, whole wheat rice} 2
{eggs, gums, ham, honey} 2
{eggs, gums, low fat yogurt, spaghetti} 2
{eggs, ham, light mayo, pancakes} 2
{eggs, ham, light mayo, spaghetti} 2
{eggs, ham, low fat yogurt, pancakes} 2
{eggs, ham, low fat yogurt, spaghetti} 2
{eggs, ham, low fat yogurt, tomatoes} 2
{eggs, ham, low fat yogurt, whole wheat rice} 2
{eggs, ham, milk, mineral water} 2
{eggs, ham, milk, shrimp} 2
{eggs, ham, milk, tomatoes} 2
{eggs, ham, milk, turkey} 2
{eggs, ham, milk, whole wheat rice} 2
{eggs, ham, mineral water, pancakes} 2
{eggs, ham, pancakes, spaghetti} 2
{eggs, ham, spaghetti, whole wheat rice} 2
{eggs, ham, tomatoes, whole wheat rice} 2
{eggs, honey, magazines, red wine} 2
{eggs, honey, milk, turkey} 2
{eggs, honey, mineral water, salmon} 2
{eggs, honey, pancakes, pepper} 2
{eggs, honey, pancakes, red wine} 2
{eggs, honey, protein bar, spaghetti} 2
{eggs, honey, red wine, salmon} 2
{eggs, honey, red wine, spaghetti} 2
{eggs, honey, salmon, spaghetti} 2
{eggs, light cream, milk, mineral water} 2
{eggs, light cream, milk, spaghetti} 2
{eggs, light cream, mineral water, pancakes} 2
{eggs, light cream, shrimp, spaghetti} 2
{eggs, light mayo, milk, mineral water} 2
{eggs, light mayo, mineral water, spaghetti} 2
{eggs, light mayo, mineral water, tomato sauce} 2
{eggs, light mayo, mineral water, tomatoes} 2
{eggs, light mayo, mineral water, turkey} 2
{eggs, light mayo, mineral water, yogurt cake} 2
{eggs, light mayo, pancakes, parmesan cheese} 2
{eggs, light mayo, pancakes, tomato sauce} 2
{eggs, light mayo, pancakes, turkey} 2
{eggs, low fat yogurt, meatballs, tomatoes} 2
{eggs, low fat yogurt, milk, pasta} 2
{eggs, low fat yogurt, milk, whole wheat rice} 2
{eggs, low fat yogurt, mineral water, pepper} 2
{eggs, low fat yogurt, mineral water, shrimp} 2
{eggs, low fat yogurt, mineral water, soda} 2
{eggs, low fat yogurt, mineral water, soup} 2
{eggs, low fat yogurt, mineral water, tomatoes} 2
{eggs, low fat yogurt, mint, tomatoes} 2
{eggs, low fat yogurt, pancakes, shrimp} 2
{eggs, low fat yogurt, pasta, shrimp} 2
{eggs, low fat yogurt, pepper, spaghetti} 2
{eggs, low fat yogurt, pepper, turkey} 2
{eggs, low fat yogurt, salmon, tomatoes} 2
{eggs, low fat yogurt, soup, spaghetti} 2
{eggs, low fat yogurt, spaghetti, tomato juice} 2
{eggs, low fat yogurt, spaghetti, tomatoes} 2
{eggs, low fat yogurt, strawberries, whole weat flour} 2
{eggs, low fat yogurt, tomatoes, whole wheat rice} 2
{eggs, mayonnaise, mineral water, yogurt cake} 2
{eggs, meatballs, milk, spaghetti} 2
{eggs, meatballs, milk, turkey} 2
{eggs, meatballs, mineral water, turkey} 2
{eggs, meatballs, mineral water, whole wheat rice} 2
{eggs, meatballs, salad, shrimp} 2
{eggs, meatballs, tomatoes, whole wheat rice} 2
{eggs, milk, mineral water, mint} 2
{eggs, milk, mineral water, pasta} 2
{eggs, milk, mineral water, pepper} 2
{eggs, milk, mineral water, protein bar} 2
{eggs, milk, mineral water, rice} 2
{eggs, milk, mineral water, spinach} 2
{eggs, milk, mineral water, toothpaste} 2
{eggs, milk, mineral water, vegetables mix} 2
{eggs, milk, muffins, pasta} 2
{eggs, milk, muffins, salmon} 2
{eggs, milk, muffins, shrimp} 2
{eggs, milk, pancakes, red wine} 2
{eggs, milk, pancakes, whole wheat pasta} 2
{eggs, milk, protein bar, salmon} 2
{eggs, milk, red wine, spaghetti} 2
{eggs, milk, salmon, spaghetti} 2
{eggs, milk, salmon, turkey} 2
{eggs, milk, salmon, vegetables mix} 2
{eggs, milk, shrimp, turkey} 2
{eggs, milk, spaghetti, tomato juice} 2
{eggs, milk, spaghetti, whole wheat rice} 2
{eggs, milk, tomato juice, whole weat flour} 2
{eggs, milk, tomatoes, vegetables mix} 2
{eggs, milk, tomatoes, whole wheat rice} 2
{eggs, mineral water, mint, spaghetti} 2
{eggs, mineral water, mint, whole wheat rice} 2
{eggs, mineral water, nonfat milk, spaghetti} 2
{eggs, mineral water, pancakes, vegetables mix} 2
{eggs, mineral water, pancakes, whole wheat pasta} 2
{eggs, mineral water, pancakes, yogurt cake} 2
{eggs, mineral water, pasta, spaghetti} 2
{eggs, mineral water, pasta, turkey} 2
{eggs, mineral water, pepper, shrimp} 2
{eggs, mineral water, pepper, soup} 2
{eggs, mineral water, pepper, whole wheat rice} 2
{eggs, mineral water, pet food, soup} 2
{eggs, mineral water, pet food, spaghetti} 2
{eggs, mineral water, protein bar, salmon} 2
{eggs, mineral water, red wine, salmon} 2
{eggs, mineral water, red wine, soup} 2
{eggs, mineral water, red wine, turkey} 2
{eggs, mineral water, rice, vegetables mix} 2
{eggs, mineral water, salmon, vegetables mix} 2
{eggs, mineral water, salmon, whole wheat rice} 2
{eggs, mineral water, shrimp, soup} 2
{eggs, mineral water, shrimp, turkey} 2
{eggs, mineral water, shrimp, vegetables mix} 2
{eggs, mineral water, soup, tomato juice} 2
{eggs, mineral water, soup, whole wheat pasta} 2
{eggs, mineral water, spaghetti, spinach} 2
{eggs, mineral water, spaghetti, tomato juice} 2
{eggs, mineral water, spaghetti, whole wheat pasta} 2
{eggs, mineral water, strawberries, tomatoes} 2
{eggs, mineral water, turkey, whole wheat pasta} 2
{eggs, mineral water, turkey, whole wheat rice} 2
{eggs, mineral water, vegetables mix, whole wheat rice} 2
{eggs, muffins, pasta, shrimp} 2
{eggs, pancakes, parmesan cheese, spaghetti} 2
{eggs, pancakes, red wine, salmon} 2
{eggs, pancakes, soup, spaghetti} 2
{eggs, pancakes, soup, whole wheat pasta} 2
{eggs, pancakes, spaghetti, tomato juice} 2
{eggs, pancakes, spaghetti, whole wheat rice} 2
{eggs, pancakes, tomatoes, turkey} 2
{eggs, pancakes, tomatoes, whole wheat rice} 2
{eggs, pasta, pepper, shrimp} 2
{eggs, pasta, shrimp, turkey} 2
{eggs, pasta, shrimp, whole wheat rice} 2
{eggs, pepper, salmon, spaghetti} 2
{eggs, red wine, salmon, spaghetti} 2
{eggs, red wine, soup, spaghetti} 2
{eggs, salmon, spaghetti, turkey} 2
{eggs, shrimp, spaghetti, turkey} 2
{eggs, shrimp, spaghetti, whole wheat rice} 2
{eggs, soup, spaghetti, whole wheat pasta} 2
{eggs, soup, tomato juice, tomatoes} 2
{eggs, soup, tomato juice, turkey} 2
{eggs, spaghetti, turkey, whole wheat pasta} 2
{eggs, spaghetti, turkey, whole wheat rice} 2
{eggs, tomato juice, tomatoes, turkey} 2
{almonds, burgers, chocolate, eggs, soup} 2
{almonds, burgers, cookies, eggs, french fries} 2
{almonds, burgers, cookies, eggs, green tea} 2
{almonds, burgers, eggs, escalope, mineral water} 2
{almonds, burgers, eggs, mineral water, turkey} 2
{almonds, cookies, eggs, french fries, green tea} 2
{almonds, eggs, french fries, milk, mineral water} 2
{almonds, eggs, ground beef, mineral water, spaghetti} 2
{antioxydant juice, eggs, frozen vegetables, green tea, mineral water} 2
{antioxydant juice, eggs, frozen vegetables, mineral water, turkey} 2
{avocado, chicken, eggs, frozen smoothie, frozen vegetables} 2
{avocado, chocolate, eggs, green tea, pancakes} 2
{bacon, burgers, chocolate, eggs, green tea} 2
{bacon, burgers, cookies, eggs, green tea} 2
{bacon, burgers, eggs, french fries, spaghetti} 2
{black tea, chocolate, eggs, milk, spaghetti} 2
{black tea, chocolate, eggs, milk, turkey} 2
{black tea, chocolate, eggs, spaghetti, turkey} 2
{black tea, eggs, mineral water, spaghetti, turkey} 2
{black tea, eggs, pancakes, spaghetti, turkey} 2
{blueberries, burger sauce, chicken, eggs, mineral water} 2
{blueberries, chicken, chocolate, eggs, mineral water} 2
{blueberries, chicken, eggs, light cream, mineral water} 2
{blueberries, chicken, eggs, milk, mineral water} 2
{blueberries, chicken, eggs, mineral water, pancakes} 2
{blueberries, eggs, french fries, mineral water, spaghetti} 2
{body spray, brownies, eggs, ground beef, spaghetti} 2
{body spray, eggs, escalope, french fries, mineral water} 2
{body spray, eggs, french fries, ground beef, spaghetti} 2
{body spray, eggs, french fries, mineral water, spaghetti} 2
{body spray, eggs, frozen smoothie, mineral water, spaghetti} 2
{brownies, cake, chocolate, eggs, mineral water} 2
{brownies, cake, eggs, french fries, spaghetti} 2
{brownies, eggs, french fries, spaghetti, turkey} 2
{brownies, eggs, fresh bread, frozen vegetables, mineral water} 2
{brownies, eggs, ground beef, mineral water, red wine} 2
{brownies, eggs, light mayo, pancakes, spaghetti} 2
{burger sauce, chicken, chocolate, eggs, mineral water} 2
{burger sauce, chicken, eggs, french fries, fresh bread} 2
{burger sauce, chicken, eggs, french fries, milk} 2
{burger sauce, chicken, eggs, fresh bread, ground beef} 2
